Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Metrics,recursive_dp_direct_direct_direct,recursive_dp_global_max_match_direct_direct
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,Metrics,recursive_dp_direct_direct_direct,recursive_dp_max_match_direct_direct,recursive_dp_global_max_match_direct_direct,recursive_dp_direct_direct_greedy,recursive_dp_max_match_direct_greedy,recursive_dp_global_max_match_direct_greedy,recursive_dp_direct_direct_dp,recursive_dp_max_match_direct_dp,recursive_dp_global_max_match_direct_dp
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",remote_hops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",remote_swaps,908.0,1865.0,899.0,908.0,1865.0,899.0,908.0,1865.0,899.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",remote_fidelity_loss,18.160000000000018,37.300000000000026,17.980000000000018,18.160000000000018,37.300000000000026,17.980000000000018,18.160000000000018,37.300000000000026,17.980000000000018
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",remote_fidelity,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",local_fidelity_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",local_fidelity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",execution_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",num_comms,908.0,1865.0,899.0,908.0,1865.0,899.0,908.0,1865.0,899.0
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",total_fidelity_loss,18.160000000000018,37.300000000000026,17.980000000000018,18.160000000000018,37.300000000000026,17.980000000000018,18.160000000000018,37.300000000000026,17.980000000000018
QV,60,41401,5400,841,3,"[20, 20, 20]","['rx', 'rz', 'cz', 'id', 'x', 'measure', 'rzz', 'sx', 'reset']","{'cz', 'rzz'}",total_fidelity,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08,1.079634437071841e-08,4.331428666746471e-17,1.2949173432423662e-08
