Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,Metrics,FGP-rOEE,Static OEE,WBCP,NAVI
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,total_fidelity,0.0,0.0,0.0,6.011621166555376e-216
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,execution_time,7738.017493247986,52.46820783615112,128.4071183204651,3019.046562433243
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,remote_hops,5735.0,24375.0,15548.0,0.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,remote_swaps,58062.0,0.0,2313.0,11272.0
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,local_fidelity,1.591336207797756e-25,1.932477813782856e-58,5.249602848545133e-50,1.4468265135433442e-31
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,remote_fidelity,0.0,2e-323,1.1778197750568836e-287,4.1550393984919734e-185
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,local_fidelity_loss,57.03967910520588,132.74960547763217,113.35051140161198,70.92558277376693
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,remote_fidelity_loss,2356.4951541793876,886.7094068918943,648.3730781110979,416.52937043185904
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,local_fidelity_log_sum,-57.100053279279635,-132.8911323727943,-113.47110222385717,-71.0107653362424
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,remote_fidelity_log_sum,-2401.8806907798626,-903.5682081870727,-660.678256608076,-424.5539202934478
QV,120,100570,21474,1203,4,"[30, 30, 30, 30]","['rzz', 'rz', 'rx', 'x', 'sx', 'id', 'reset', 'cz']","{'rzz', 'cz'}",mesh_grid,local_gate_num,97078.0,149706.0,139788.0,100516.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,Metrics,FGP-rOEE,Static OEE,WBCP,NAVI
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,F_eff,0.6453618575092989,0.6812476409010961,0.7622979477897737,0.86955050802289
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,num_comms,10382.0,7185.0,4932.0,2474.0
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,epairs,19281.0,7185.0,5556.0,4948.0
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity_log_sum,-395.02557829439337,-346.21411510915374,-244.81884849306329,-126.08053017930149
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity_loss,388.5516786770497,341.59090249256377,241.76738643435894,124.53112365702009
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,geo_mean_fidelity,0.9939580716623202,0.9969770667041852,0.9975058559220604,0.9978785772407957
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,total_fidelity,2.7705828149668e-172,4.376432666955248e-151,4.748156594248043e-107,1.75356338100477e-55
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,execution_time,3344.5427639484406,33.69817662239075,81.09457182884216,1187.49768948555
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,remote_hops,1483.0,7185.0,4308.0,0.0
QV,90,56284,12003,902,3,"[30, 30, 30]","['rx', 'rz', 'rzz', 'id', 'cz', 'x', 'sx', 'reset']","{'rzz', 'cz'}",all_to_all,remote_swaps,8899.0,0.0,624.0,2474.0
